?gocam	?title	?gp_labels	?gptypes	?taxons	?taxon_labels	?modelstate
<http://model.geneontology.org/62900b6400000500>	"Regulation of ACLY by acetylation by PCAF/KAT2B and ubiquitination (by UBR4) (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	UBR4,KAT2B,SIRT2,ACLY	http://identifiers.org/uniprot/Q5T4S7,http://identifiers.org/uniprot/Q92831,http://identifiers.org/uniprot/Q8IXJ6,http://identifiers.org/uniprot/P53396	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62900b6400001836>	"Activation of METAP1 activity by zinc chaperone ZNG1 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	METAP1,CBWD5	http://identifiers.org/uniprot/P53582,http://identifiers.org/uniprot/Q5RIA9	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62900b6400001630>	"PTEN in excitatory hippocampal synapse long-term depression (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	CTNNB1,PTEN,DLG4,SLC6A20	http://identifiers.org/uniprot/P35222,http://identifiers.org/uniprot/P60484,http://identifiers.org/uniprot/P78352,http://identifiers.org/uniprot/Q9NP91	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001943>	"Activation of PARP1 activity by HPF1 during DNA repair (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	PARP1,HPF1	http://identifiers.org/uniprot/P09874,http://identifiers.org/uniprot/Q9NWY4	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62b4ffe300000241>	"Poxvirus-CRMB inhibition of TNF signaling pathway (Human-Poxvirus) "^^<http://www.w3.org/2001/XMLSchema#string>	TRAF2,TNFRSF1A,FADD,TRADD,TNF,CRMB	http://identifiers.org/uniprot/Q12933,http://identifiers.org/uniprot/P19438,http://identifiers.org/uniprot/Q13158,http://identifiers.org/uniprot/Q15628,http://identifiers.org/uniprot/P01375,http://identifiers.org/uniprot/P0DSV7	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_587200	Homo sapiens,Variola virus human/India/Ind3/1967	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fa76ad400000110>	"GMP catabolic process to allantoin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Urad,Nt5c2,Pnp,Gda,Xdh,Urah,Uox	http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:2178563,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:95678,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001405>	"Il17A mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	IL17RC,IL17RA,IL17A,ORF8,MAP3K7,TRAF6,TRAF3IP2	http://identifiers.org/uniprot/Q8NAC3,http://identifiers.org/uniprot/Q96F46,http://identifiers.org/uniprot/Q16552,http://identifiers.org/uniprot/P0DTC8,http://identifiers.org/uniprot/O43318,http://identifiers.org/uniprot/Q9Y4K3,http://identifiers.org/uniprot/O43734	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_2697049	Homo sapiens,Severe acute respiratory syndrome coronavirus 2	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000775>	"ADP-ribosylation of histones by PARP1 leading to recruitment of CHD1L  (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	PARP1,HPF1,CHD1L	http://identifiers.org/uniprot/P09874,http://identifiers.org/uniprot/Q9NWY4,http://identifiers.org/uniprot/Q86WJ1-5,http://identifiers.org/uniprot/Q86WJ1	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00001200>	"Guanine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Urah,Uox,Urad,Xdh,Gda	http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:95678	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/600ced8500002343>	"SPModule-BMP9_ACVRL1"^^<http://www.w3.org/2001/XMLSchema#string>	GDF2,ENG,ACVR2A,ACVRL1,BMPR2	http://identifiers.org/uniprot/Q9UK05,http://identifiers.org/uniprot/P17813,http://identifiers.org/uniprot/P27037,http://identifiers.org/uniprot/P37023,http://identifiers.org/uniprot/Q13873	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62b4ffe300000067>	"Poxvirus-OPG044 inhibition of interferon beta induction (Human-Poxvirus)"^^<http://www.w3.org/2001/XMLSchema#string>	DDX3X,IRF3,IKBKE,IFNB1,VACWR039	http://identifiers.org/uniprot/O00571,http://identifiers.org/uniprot/Q14653,http://identifiers.org/uniprot/Q14164,http://identifiers.org/uniprot/P01574,http://identifiers.org/uniprot/P68466,http://identifiers.org/uniprot/Q14653-5	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_10254	Homo sapiens,Vaccinia virus WR	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6197061700000616>	"ERBB2-ERBB4 signaling pathway 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Erbb4,Erbb2,Hbegf	http://identifiers.org/mgi/MGI:104771,http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:96070	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62900b6400001815>	"Activation of Metap1 activity by zinc chaperone Zng1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Cbwd1,Metap1	http://identifiers.org/mgi/MGI:2385089,http://identifiers.org/mgi/MGI:1922874	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6197061700000593>	"ERBB2-EGFR signaling pathway 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Egfr,Erbb2,Hbegf,Adam17	http://identifiers.org/mgi/MGI:95294,http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:96070,http://identifiers.org/mgi/MGI:1096335	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00001124>	"Hypoxanthine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Xdh,Urah,Uox,Urad	http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:3647519	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fce9b7300002336>	"SPModule-TREM1-DAP12"^^<http://www.w3.org/2001/XMLSchema#string>	HSPA1A,HMGB1,PGLYRP1,TREM1,SYK,TYROBP	http://identifiers.org/uniprot/P0DMV8,http://identifiers.org/uniprot/P09429,http://identifiers.org/uniprot/O75594,http://identifiers.org/uniprot/Q9NP99,http://identifiers.org/uniprot/P43405,http://identifiers.org/uniprot/O43914,http://identifiers.org/uniprot/Q9NP99-2	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000817>	"Role of TONSL and MMS22L (TONSL-MMS22L complex) in promoting homologous recombination-mediated repair of DSBs (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	PRKDC,ASF1A,RAD51,TONSL,KMT5A,MMS22L,rpa_human	http://identifiers.org/uniprot/P78527,http://identifiers.org/uniprot/Q9Y294,http://identifiers.org/uniprot/Q06609,http://identifiers.org/uniprot/Q96HA7,http://identifiers.org/uniprot/Q9NQR1,http://identifiers.org/uniprot/Q6ZRQ5,https://www.ebi.ac.uk/complexportal/complex/CPX-1878	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001242>	"Regulation of transcription elongation by the P-TEFb complex, NELFE and PARP1 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	CCNT1,CDK9,PARP1,POLR2A,NELFE	http://identifiers.org/uniprot/O60563,http://identifiers.org/uniprot/P50750,http://identifiers.org/uniprot/P09874,http://identifiers.org/uniprot/P24928,http://identifiers.org/uniprot/P18615,http://identifiers.org/uniprot/P24928-2	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fce9b7300002436>	"SPModule TREM2-DAP12"^^<http://www.w3.org/2001/XMLSchema#string>	SYK,APP,TREM2,TYROBP	http://identifiers.org/uniprot/P43405,http://identifiers.org/uniprot/P05067,http://identifiers.org/uniprot/Q9NZC2,http://identifiers.org/uniprot/O43914	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000673>	"IL5-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	IL5RA,LYN,JAK2,STAT5A,CSF2RB,IL5	http://identifiers.org/uniprot/Q01344,http://identifiers.org/uniprot/P07948,http://identifiers.org/uniprot/O60674,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P32927,http://identifiers.org/uniprot/P05113	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fce9b7300001590>	"SPModule-PGLYRP1/HSP701A"^^<http://www.w3.org/2001/XMLSchema#string>	HSPA1A,PGLYRP1,HSPBP1	http://identifiers.org/uniprot/P0DMV8,http://identifiers.org/uniprot/O75594,http://identifiers.org/uniprot/Q9NZL4	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000000011>	"SP-ANN-SEC14L1"^^<http://www.w3.org/2001/XMLSchema#string>	DDX58,SEC14L1,MAVS	http://identifiers.org/uniprot/O95786,http://identifiers.org/uniprot/Q92503,http://identifiers.org/uniprot/Q7Z434	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5fce9b7300001616>	"SPModule-PGRP1-S100A4"^^<http://www.w3.org/2001/XMLSchema#string>	CCR5,S100A4,CXCR3,PGLYRP1	http://identifiers.org/uniprot/P51681,http://identifiers.org/uniprot/P26447,http://identifiers.org/uniprot/P49682,http://identifiers.org/uniprot/O75594	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6205c24300000330>	"Microtubule polyglutamylation regulation (human)"^^<http://www.w3.org/2001/XMLSchema#string>	CDK1,MAP4,PCM1,CSTPP1,MARK4,TPGS1,TTLL1,LRRC49,TPGS2	http://identifiers.org/uniprot/P06493,http://identifiers.org/uniprot/P27816,http://identifiers.org/uniprot/Q15154,http://identifiers.org/uniprot/Q9H6J7,http://identifiers.org/uniprot/Q96L34,http://identifiers.org/uniprot/Q6ZTW0,http://identifiers.org/uniprot/O95922,http://identifiers.org/uniprot/Q8IUZ0,http://identifiers.org/uniprot/Q68CL5,http://identifiers.org/uniprot/Q8IUZ0-4	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000472>	"IL15 signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	JAK1,JAK3,IL15,STAT3,STAT5A,IL2RB,IL2RG,IL15RA	http://identifiers.org/uniprot/P23458,http://identifiers.org/uniprot/P52333,http://identifiers.org/uniprot/P40933,http://identifiers.org/uniprot/P40763,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P14784,http://identifiers.org/uniprot/P31785,http://identifiers.org/uniprot/Q13261	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62183af000000874>	"miRNA maturation by TRUB1 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	DGCR8,LIN28A,TRUB1,URS00005EB5B7_9606	http://identifiers.org/uniprot/Q8WYQ5,http://identifiers.org/uniprot/Q9H9Z2,http://identifiers.org/uniprot/Q8WWH5,http://rnacentral.org/rna/URS00005EB5B7_9606	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/617b481400000672>	"KAT5 chromatin localization (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	CDK9,KAT5,VRK1	http://identifiers.org/uniprot/P50750,http://identifiers.org/uniprot/Q92993,http://identifiers.org/uniprot/Q99986	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00000811>	"Inosine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Uox,Xdh,Urah,Urad,Pnp	http://identifiers.org/mgi/MGI:98907,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:97365	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000290>	"IL4-mediated signaling pathway (human)"^^<http://www.w3.org/2001/XMLSchema#string>	JAK1,STAT6,STAT5A,JAK3,IL2RG,IL4R,IL4	http://identifiers.org/uniprot/P23458,http://identifiers.org/uniprot/P42226,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P52333,http://identifiers.org/uniprot/P31785,http://identifiers.org/uniprot/P24394,http://identifiers.org/uniprot/P05112	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/59cc772c00000000>	"IL1beta-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	MAP3K7,IL1B,MYD88,IL1R1,CASP1,IRAK1,IRAK4,TOLLIP,IL1RAP	http://identifiers.org/uniprot/O43318,http://identifiers.org/uniprot/P01584,http://identifiers.org/uniprot/Q99836,http://identifiers.org/uniprot/P14778,http://identifiers.org/uniprot/P29466,http://identifiers.org/uniprot/P51617,http://identifiers.org/uniprot/Q9NWZ3,http://identifiers.org/uniprot/Q9H0E2,http://identifiers.org/uniprot/Q9NPH3	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000340>	"IL3-mediated signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	CSF2RB,JAK2,STAT5A,IL3,IL3RA	http://identifiers.org/uniprot/P32927,http://identifiers.org/uniprot/O60674,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P08700,http://identifiers.org/uniprot/P26951	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6168d1e000000007>	"SP_RNF26ubiquinatesSQSTM1"^^<http://www.w3.org/2001/XMLSchema#string>	SQSTM1,UBE2J1,RNF26,TOLLIP	http://identifiers.org/uniprot/Q13501,http://identifiers.org/uniprot/Q9Y385,http://identifiers.org/uniprot/Q9BY78,http://identifiers.org/uniprot/Q9H0E2	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/614fa6f900000500>	"SP-ANN-TUT1"^^<http://www.w3.org/2001/XMLSchema#string>	SART3,TUT1,USP15	http://identifiers.org/uniprot/Q15020,http://identifiers.org/uniprot/Q9H6E5,http://identifiers.org/uniprot/Q9Y4E8	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6258b8f300000398>	"Heparan sulfate proteoglycan biosynthetic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Ext1,Ext2,Hs2st1,Ndst1,Ndst4,Slc35d2,Glce,Ndst2,Hs3st1,Ndst3,Hs3st5,Hs3st3b1,Hs3st3a1,Hs3st2,Hs6st2,Hs6st3,Hs6st1,Hs3st6,Hs3st4	http://identifiers.org/mgi/MGI:894663,http://identifiers.org/mgi/MGI:108050,http://identifiers.org/mgi/MGI:1346049,http://identifiers.org/mgi/MGI:104719,http://identifiers.org/mgi/MGI:1932545,http://identifiers.org/mgi/MGI:1917734,http://identifiers.org/mgi/MGI:2136405,http://identifiers.org/mgi/MGI:97040,http://identifiers.org/mgi/MGI:1201606,http://identifiers.org/mgi/MGI:1932544,http://identifiers.org/mgi/MGI:2441996,http://identifiers.org/mgi/MGI:1333853,http://identifiers.org/mgi/MGI:1333861,http://identifiers.org/mgi/MGI:1333802,http://identifiers.org/mgi/MGI:1354959,http://identifiers.org/mgi/MGI:1354960,http://identifiers.org/mgi/MGI:1354958,http://identifiers.org/mgi/MGI:3580487,http://identifiers.org/mgi/MGI:1333792	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000001005>	"SP-ANN-RECQL5"^^<http://www.w3.org/2001/XMLSchema#string>	CDK1,RAD51,RECQL5,MUS81	http://identifiers.org/uniprot/P06493,http://identifiers.org/uniprot/Q06609,http://identifiers.org/uniprot/O94762,http://identifiers.org/uniprot/Q96NY9	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6205c24300001663>	"IL2 signaling pathway (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	IL2RB,IL2RG,STAT5A,JAK3,STAT3,IL2RA,JAK1,IL2	http://identifiers.org/uniprot/P14784,http://identifiers.org/uniprot/P31785,http://identifiers.org/uniprot/P42229,http://identifiers.org/uniprot/P52333,http://identifiers.org/uniprot/P40763,http://identifiers.org/uniprot/P01589,http://identifiers.org/uniprot/P23458,http://identifiers.org/uniprot/P60568	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60418ffa00000414>	"Adenosine catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Urad,Urah,Ada,Pnp,Xdh,Uox	http://identifiers.org/mgi/MGI:3647519,http://identifiers.org/mgi/MGI:1916142,http://identifiers.org/mgi/MGI:87916,http://identifiers.org/mgi/MGI:97365,http://identifiers.org/mgi/MGI:98973,http://identifiers.org/mgi/MGI:98907	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000000061>	"cGAS-STING (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	CGAS,KAT5,BANF1,PPP6C,AKT1,IRF3,STING1,TBK1,CASP3,TRIM56	http://identifiers.org/uniprot/Q8N884,http://identifiers.org/uniprot/Q92993-4,http://identifiers.org/uniprot/O75531,http://identifiers.org/uniprot/O00743,http://identifiers.org/uniprot/P31749,http://identifiers.org/uniprot/Q14653,http://identifiers.org/uniprot/Q86WV6,http://identifiers.org/uniprot/Q9UHD2,http://identifiers.org/uniprot/P42574,http://identifiers.org/uniprot/Q9BRZ2	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/62183af000000536>	"DNA damage sensor activity of SIRT6 and its regulation by SIRT1 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	SIRT6,SIRT1	http://identifiers.org/uniprot/Q8N6T7,http://identifiers.org/uniprot/Q96EB6	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_9823	Homo sapiens,Sus scrofa	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60ad85f700003288>	"'de novo' UMP biosynthetic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Cad,Dhodh,Umps	http://identifiers.org/mgi/MGI:1916969,http://identifiers.org/mgi/MGI:1928378,http://identifiers.org/mgi/MGI:1298388	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000000338>	"SP-ANN_TGM2"^^<http://www.w3.org/2001/XMLSchema#string>	KPNA4,TGM2,H3C1,tfiid_human	http://identifiers.org/uniprot/O00629,http://identifiers.org/uniprot/P21980,http://identifiers.org/uniprot/P68431,https://www.ebi.ac.uk/complexportal/complex/CPX-915	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/60ad85f700000058>	"Atf2 mouse"^^<http://www.w3.org/2001/XMLSchema#string>	Atf2,Cebpz,Utf1,Mapk8,Mapk14,Nefm,Jun,Nefh,Atf3,Ccnd1,Atf7,Mitf,Jdp2,Sox10,Ddit3,Creb5,Atf4,Junb,Rb1,DDIT3,Rbl1,Reg1,Mki67,Col10a1,Fos,Sqstm1,Tlr7,Nfkb1,Il23a,Smad3,Tgfb1,Ppargc1a,Ucp1,Foxp3,Pparg,Irf3,Tlr3	http://identifiers.org/mgi/MGI:109349,http://identifiers.org/mgi/MGI:109386,http://identifiers.org/mgi/MGI:1276125,http://identifiers.org/mgi/MGI:1346861,http://identifiers.org/mgi/MGI:1346865,http://identifiers.org/mgi/MGI:97314,http://identifiers.org/mgi/MGI:96646,http://identifiers.org/mgi/MGI:97309,http://identifiers.org/mgi/MGI:109384,http://identifiers.org/mgi/MGI:88313,http://identifiers.org/mgi/MGI:2443472,http://identifiers.org/mgi/MGI:104554,http://identifiers.org/mgi/MGI:1932093,http://identifiers.org/mgi/MGI:98358,http://identifiers.org/mgi/MGI:109247,http://identifiers.org/mgi/MGI:2443973,http://identifiers.org/mgi/MGI:88096,http://identifiers.org/mgi/MGI:96647,http://identifiers.org/mgi/MGI:97874,http://identifiers.org/uniprot/P35638,http://identifiers.org/mgi/MGI:103300,http://identifiers.org/mgi/MGI:97895,http://identifiers.org/mgi/MGI:106035,http://identifiers.org/mgi/MGI:88445,http://identifiers.org/mgi/MGI:95574,http://identifiers.org/mgi/MGI:107931,http://identifiers.org/mgi/MGI:2176882,http://identifiers.org/mgi/MGI:97312,http://identifiers.org/mgi/MGI:1932410,http://identifiers.org/mgi/MGI:1201674,http://identifiers.org/mgi/MGI:98725,http://identifiers.org/mgi/MGI:1342774,http://identifiers.org/mgi/MGI:98894,http://identifiers.org/mgi/MGI:1891436,http://identifiers.org/mgi/MGI:97747,http://identifiers.org/mgi/MGI:1859179,http://identifiers.org/mgi/MGI:2156367	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_10090	Homo sapiens,Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6246724f00000331>	"Regulation of the NOD2 signaling pathway via RIPK2 ubiquitination by ZNRF4 (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	NOD2,ZNRF4,RIPK2	http://identifiers.org/uniprot/Q9HC29,http://identifiers.org/uniprot/Q8WWF5,http://identifiers.org/uniprot/O43353	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6205c24300000880>	"Regulation of cholesterol biosynthesis by SREBP (SREBF1 and SREBF2) and retention by the SREBP-SCAP complex (Human)"^^<http://www.w3.org/2001/XMLSchema#string>	INSIG1,INSIG2,PCK1,SREBF1,SREBF2,MBTPS1,KPNB1,MBTPS2,AKT1	http://identifiers.org/uniprot/O15503,http://identifiers.org/uniprot/Q9Y5U4,http://identifiers.org/uniprot/P35558,http://identifiers.org/uniprot/P36956,http://identifiers.org/uniprot/Q12772,http://identifiers.org/uniprot/Q14703,http://identifiers.org/uniprot/Q14974,http://identifiers.org/uniprot/O43462,http://identifiers.org/uniprot/P31749	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_9823	Homo sapiens,Sus scrofa	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5ee8120100000524>	"SP_N4BP3on MAVS"^^<http://www.w3.org/2001/XMLSchema#string>	TRAF2,NEDD4,MAVS,N4BP3	http://identifiers.org/uniprot/Q12933,http://identifiers.org/uniprot/P46934,http://identifiers.org/uniprot/Q7Z434,http://identifiers.org/uniprot/O15049	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/5e72450500004237>	"SARS-COV2/cycle"^^<http://www.w3.org/2001/XMLSchema#string>	nsp5,nsp4,ACE2,pp1ab,nsp7,TMPRSS2,nsp8,nsp16,CH25H,ACAT1,FURIN,nsp14,nsp3,nsp10,nsp12,nsp13,PAIP1	http://identifiers.org/uniprot/P0DTD1-PRO_0000449623,http://identifiers.org/uniprot/P0DTD1-PRO_0000449622,http://identifiers.org/uniprot/Q9BYF1,http://identifiers.org/uniprot/P0DTD1,http://identifiers.org/uniprot/P0DTD1-PRO_0000449625,http://identifiers.org/uniprot/O15393,http://identifiers.org/uniprot/P0DTD1-PRO_0000449626,http://identifiers.org/uniprot/P0DTD1-PRO_0000449633,http://identifiers.org/uniprot/O95992,http://identifiers.org/uniprot/P24752,http://identifiers.org/uniprot/P09958,http://identifiers.org/uniprot/P0DTD1-PRO_0000449631,http://identifiers.org/uniprot/P0DTD1-PRO_0000449621,http://identifiers.org/uniprot/P0DTD1-PRO_0000449628,http://identifiers.org/uniprot/P0DTD1-PRO_0000449629,http://identifiers.org/uniprot/P0DTD1-PRO_0000449630,http://identifiers.org/uniprot/Q9H074	http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_2697049	Homo sapiens,Severe acute respiratory syndrome coronavirus 2	"production"^^<http://www.w3.org/2001/XMLSchema#string>
