# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 5.0.0
# Date file generated (UTC): 2022-01-11 23:00
Your Input	Gene ID	Gene Symbol	Gene Name	Species	NCBI ID	ENSEMBL ID	UniProtKB ID	PANTHER ID	Synonym	Mouse Ortholog
HGNC:21461	HGNC:21461	RC3H2	ring finger and CCCH-type domains 2	Homo sapiens	54542	ENSG00000056586	A0A024R899 | A6NHN2 | H0Y5D9 | Q9HBD1 | Q4VXB2	PTHR13139	FLJ20713 | MNAB | MGC52176 | membrane-associated nucleic acid binding protein | ring finger and CCCH-type zinc finger domains 2 | RNF164 | RING finger and CCCH-type zinc finger domain-containing protein 2 | FLJ20301 | roquin-2 | membrane-associated nucleic acid-binding protein | RING-type E3 ubiquitin transferase Roquin-2 | RING finger protein 164 | membrane associated DNA binding protein	MGI:2442789:Rc3h2
HGNC:21462	HGNC:21462	GPR165P	"G protein-coupled receptor 165, pseudogene"	Homo sapiens	392486	N.A.	N.A.	N.A.	PGR15 | G protein-coupled receptor 165 pseudogene	MGI:1923456:Gpr165
HGNC:21463	HGNC:21463	MTERF1	mitochondrial transcription termination factor 1	Homo sapiens	7978	ENSG00000127989	Q99551 | B4DPR9 | C9JNM8 | C9JE25 | C9JU79	N.A.	transcription termination factor, mitochondrial | MGC131634 | MTERF | transcription termination factor 1, mitochondrial	MGI:1340032:Mthfs | MGI:1918240:Mterf1a | MGI:3704243:Mterf1b
HGNC:21464	HGNC:21464	NLRP10	NLR family pyrin domain containing 10	Homo sapiens	338322	ENSG00000281166	E9PPY0 | Q86W26	N.A.	nucleotide-binding oligomerization domain protein 8 | CLR11.1 | NLR family, pyrin domain containing 10 | NACHT, leucine rich repeat and PYD containing 10 | NACHT, LRR and PYD domains-containing protein 10 | NOD8 | PAN5 | PYNOD | nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 10 | NALP10	MGI:2444084:Nlrp10
HGNC:21466	HGNC:21466	ATG12P1	autophagy related 12 pseudogene 1	Homo sapiens	100151642	N.A.	N.A.	N.A.	ATG12P	N.A.
HGNC:21474	HGNC:21474	INPP5E	inositol polyphosphate-5-phosphatase E	Homo sapiens	56623	ENSG00000148384	Q9NRR6 | Q2YD81	PTHR46625	72 kDa inositol polyphosphate 5-phosphatase | MORMS | phosphatidylinositol polyphosphate 5-phosphatase type IV | phosphatidylinositol (4,5) bisphosphate 5-phosphatase | phosphatidylinositol 4,5-bisphosphate 5-phosphatase | phosphatidylinositol-4,5-bisphosphate 5-phosphatase | MGC117201 | pharbin | PPI5PIV | CORS1 | JBTS1 | inositol polyphosphate-5-phosphatase, 72 kDa | CPD4 | phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase | Joubert syndrome 1	MGI:1927753:Inpp5e
HGNC:21475	HGNC:21475	MMS22L	"MMS22 like, DNA repair protein"	Homo sapiens	253714	ENSG00000146263	Q6ZRQ5 | A0A2Z2E9D2 | H9KVD7 | H0YAJ2 | E2QRD4 | H9KVD8 | H0Y8J1	PTHR28547	KIAA1900 | dJ39B17.2 | DKFZp686C20164 | methyl methanesulfonate-sensitivity protein 22-like | hypothetical protein LOC253714 | C6orf167 | DKFZp781C2113 | protein MMS22-like | FLJ46180	MGI:2684980:Mms22l
HGNC:21476	HGNC:21476	BDH2P1	"3-hydroxybutyrate dehydrogenase 2, pseudogene 1"	Homo sapiens	389416	ENSG00000232699	N.A.	N.A.	bA758C21.1 | dehydrogenase/reductase (sdr family) member 6 pseudogene 1 | 3-hydroxybutyrate dehydrogenase, type 2 pseudogene 1 | DHRS6P1	N.A.
HGNC:21478	HGNC:21478	RFX6	regulatory factor X6	Homo sapiens	222546	ENSG00000185002	Q8HWS3	PTHR12619	DNA-binding protein RFX6 | regulatory factor X, 6 | regulatory factor X domain containing 1 | MGC33442 | MTFS | RFXDC1 | MTCHRS | dJ955L16.1 | regulatory factor X domain-containing protein 1	MGI:2445208:Rfx6
HGNC:21479	HGNC:21479	DCBLD1	"discoidin, CUB and LCCL domain containing 1"	Homo sapiens	285761	ENSG00000164465	Q8N8Z6 | H0Y4G4	N.A.	dJ94G16.1 | DKFZp686L21135 | discoidin, CUB and LCCL domain-containing protein 1 | MGC46341	MGI:1913936:Dcbld1
HGNC:2148	HGNC:2148	CNGA1	cyclic nucleotide gated channel subunit alpha 1	Homo sapiens	1259	ENSG00000198515	P29973 | A0A024R9X3 | D6R978 | D6RCF1	PTHR45638	RP49 | CNG-1 | cyclic nucleotide-gated channel alpha-1 | CNG1 | cyclic nucleotide gated channel alpha 1 | RCNCa | CNCG1 | cyclic nucleotide-gated cation channel 1 | CNCG | interleukin-1 homologue | CNG channel alpha-1 | rod photoreceptor cGMP-gated channel subunit alpha | cyclic nucleotide-gated channel, photoreceptor | cGMP-gated cation channel alpha-1 | RCNC1 | RCNCalpha	MGI:88436:Cnga1
HGNC:21480	HGNC:21480	DUSP23	dual specificity phosphatase 23	Homo sapiens	54935	ENSG00000158716	Q9BVJ7 | A0A140VJI5	N.A.	LDP3 | VH1-like member Z | low molecular mass dual specificity phosphatase 3 | dual specificity protein phosphatase 23 | DUSP25 | low-molecular-mass dual-specificity phosphatase 3 | RP11-190A12.1 | MOSP | FLJ20442 | VH1-like phosphatase Z | LDP-3 | testicular tissue protein Li 59 | VHZ	MGI:1915690:Dusp23
HGNC:21481	HGNC:21481	LDHAL6B	lactate dehydrogenase A like 6B	Homo sapiens	92483	ENSG00000171989	A0A140VJM9 | Q9BYZ2	N.A.	LDH6B | L-lactate dehydrogenase A-like 6B | lactate dehydrogenase A-like 6 | testicular tissue protein Li 105 | lactate dehydrogenase A -like | LDHAL6 | lactate dehydrogenase A-like 6B | LDHL	MGI:2146830:Ldhal6b
HGNC:21482	HGNC:21482	RPL29P4	ribosomal protein L29 pseudogene 4	Homo sapiens	387101	N.A.	N.A.	N.A.	bA632C17A.1 | RPL29P3 | RPL29_6_745	N.A.
HGNC:21483	HGNC:21483	SLC35F1	solute carrier family 35 member F1	Homo sapiens	222553	ENSG00000196376	Q5T1Q4	N.A.	FLJ13018 | dJ230I3.1 | solute carrier family 35, member F1 | C6orf169	MGI:2139810:Slc35f1
HGNC:21484	HGNC:21484	MCM9	minichromosome maintenance 9 homologous recombination repair factor	Homo sapiens	254394	ENSG00000111877	A0A0S2Z600 | A0A482KD00 | A0A482KL27 | A0A4D6GKC9 | A0A4D6GKE3 | A0A4D6GKF8 | A0A4D6GL99 | A0A4D6GNL0 | A0A0S2Z662 | Q9NXL9 | H0Y6M9 | D6RHY8 | D6RE85	PTHR11630	hMCM9 | FLJ20170 | chromosome 6 open reading frame 61 | minichromosome maintenance complex component 9 | MCMDC1 | minichromosome maintenance deficient domain containing 1 | FLJ13942 | MGC35304 | dJ329L24.1 | minichromosome maintenance 9 | DNA helicase MCM9 | FLJ56845 | C6orf61 | ODG4 | mini-chromosome maintenance deficient domain-containing protein 1 | DNA replication licensing factor MCM9 | dJ329L24.3	MGI:1918817:Mcm9
HGNC:21485	HGNC:21485	TBC1D32	TBC1 domain family member 32	Homo sapiens	221322	ENSG00000146350	Q96NH3 | A2A304 | H0YBP0	PTHR13465	bA301B7.2 (novel protein) | dJ310J6.1 (novel protein) | FLJ30899 | TBC1 domain family, member 32 | FLJ34235 | bA57L9.1 | C6orf171 | BROMI | protein broad-minded | C6orf170 | dJ310J6.1 | bA301B7.2 | broad-minded homolog	MGI:2442827:Tbc1d32
HGNC:21487	HGNC:21487	RNF217	ring finger protein 217	Homo sapiens	154214	ENSG00000146373	Q8TC41 | B3KVC8 | H0YKH8 | H0YB95 | E5RFY6 | H3BM17	PTHR11685	dJ84N20.1 | MGC26996 | IBR domain-containing protein 1 | OSTL | IBRDC1 | opposite STL | C6orf172 | probable E3 ubiquitin-protein ligase RNF217 | IBR domain containing 1	MGI:3610311:Rnf217
HGNC:21488	HGNC:21488	CENPW	centromere protein W	Homo sapiens	387103	ENSG00000203760	Q5EE01 | A0A0A0MRK5	N.A.	CUG2 | DKFZp686L1553 | cancer-up-regulated gene 2 protein | cancer-upregulated gene 2 | CENP-W | C6orf173	MGI:1913561:Cenpw
HGNC:21489	HGNC:21489	ECHDC1	ethylmalonyl-CoA decarboxylase 1	Homo sapiens	55862	ENSG00000093144	Q9NTX5 | E9PJS8 | H0Y525 | E9PLY6 | E9PPG7 | J3KP84 | E9PRU6 | H0Y5L2 | H0YCS9 | H0YD54 | E9PIU8 | F2Z2D6	N.A.	ethylmalonyl-CoA decarboxylase | FLJ40827 | dJ351K20.2 | methylmalonyl-CoA decarboxylase | epididymis secretory protein Li 76 | HEL-S-76 | MMCD | enoyl CoA hydratase domain containing 1 | enoyl-CoA hydratase domain-containing protein 1 | DKFZp762M1110 | enoyl Coenzyme A hydratase domain containing 1	MGI:1277169:Echdc1
HGNC:2149	HGNC:2149	CNGA2	cyclic nucleotide gated channel subunit alpha 2	Homo sapiens	1260	ENSG00000183862	B3KXY3 | Q16280	N.A.	OCNCALPHA | OCNC1 | FLJ46312 | cyclic-nucleotide-gated cation channel 2 | CNCA1 | cyclic nucleotide-gated cation channel 2 | CNG channel alpha-2 | OCNCa | cyclic nucleotide-gated olfactory channel | cyclic-nucleotide-gated olfactory channel | cyclic nucleotide-gated channel alpha-2 | CNG2 | CNCA | cyclic nucleotide gated channel alpha 2 | CNG-2	MGI:108040:Cnga2
HGNC:21490	HGNC:21490	DAPL1	death associated protein like 1	Homo sapiens	92196	ENSG00000163331	M1E9T6 | M1E9X0 | M1EA21 | M1EA72 | M1E9T5 | A0PJW8 | B8ZZC6 | M1EA23 | H0Y3U5	PTHR13177	death associated protein-like 1 | early epithelial differentiation-associated protein | death-associated protein-like 1	MGI:1923997:Dapl1
HGNC:21492	HGNC:21492	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1	Homo sapiens	154807	ENSG00000196715	Q8N0U8 | A0A3B3ISV4 | A8K0F7	PTHR14519	VKORC1-like protein 1 | vitamin K epoxide reductase complex subunit 1-like protein 1 | DKFZp762H0113 | vitamin K epoxide reductase complex, subunit 1-like 1	MGI:1916818:Vkorc1l1
HGNC:21493	HGNC:21493	DNAAF4	dynein axonemal assembly factor 4	Homo sapiens	161582	ENSG00000256061	A0A0S2Z5Z4 | Q8WXU2 | B4DY92 | E5RJ13	N.A.	FLJ37882 | EKN1 | DYX1C1 | DYXC1 | dyslexia susceptibility 1 | dyslexia susceptibility 1 candidate 1 | CILD25 | dynein, axonemal, assembly factor 4 | RD | dyslexia susceptibility 1 candidate gene 1 protein | DYX1 | dynein assembly factor 4, axonemal | MGC70618	MGI:1914935:Dnaaf4
HGNC:21494	HGNC:21494	SOGA3	SOGA family member 3	Homo sapiens	387104	ENSG00000255330	Q5TF21 | A0A1D5RMT3 | A5PLQ8 | E9PJP2 | H3BRB8 | H3BSE6	N.A.	hypothetical protein LOC387104 | dJ403A15.3 | C6orf174 | uncharacterized protein C6orf174	MGI:1914662:Soga3
HGNC:21495	HGNC:21495	KIF12	kinesin family member 12	Homo sapiens	113220	ENSG00000136883	A0A1W2PNV5 | A0A1W2PP63 | A0A1W2PPS5 | B1ALC3 | Q96FN5 | A0A2R8Y6R2	PTHR24115	RP11-56P10.3 | kinesin-like protein KIF12	MGI:1098232:Kif12
HGNC:21496	HGNC:21496	ARFIP1	ADP ribosylation factor interacting protein 1	Homo sapiens	27236	ENSG00000164144	B4E273 | B7ZA10 | Q8N8M9 | P53367	PTHR12141	arfaptin-1 | arfaptin 1 | MGC117369 | ADP-ribosylation factor-interacting protein 1 | HSU52521	MGI:1277120:Arfip1
HGNC:21497	HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Homo sapiens	28976	ENSG00000177646	D6RCD8 | D6RGK6 | Q9BUX5 | Q9H9W4 | D6R9Z3 | D6RJA8 | D6RDK9 | Q9H845 | H0Y8Z9	N.A.	acyl-CoA dehydrogenase family member 9, mitochondrial | ACAD-9 | MC1DN20 | complex I assembly factor ACAD9, mitochondrial | FLJ23533 | NPD002 | MGC14452 | very-long-chain acyl-CoA dehydrogenase VLCAD | acyl-Coenzyme A dehydrogenase family, member 9 | acyl-CoA dehydrogenase family, member 9	MGI:1914272:Acad9
HGNC:21498	HGNC:21498	ATG16L1	autophagy related 16 like 1	Homo sapiens	55054	ENSG00000281089	C9J8C6 | E7EVC7 | F8WAF9 | C9JK97 | C9J1B2 | A0A024R4B6 | A0A024R494 | Q17RG0 | Q53SV2 | Q676U5 | A5YM60 | B7ZLM5 | D9N2U2 | D9N2U3 | L7UQD0 | C9JAY7	N.A.	FLJ00045 | autophagy-related protein 16-1 | IBD10 | APG16L | ATG16 autophagy related 16-like 1 | apg16 autophagy 16-like (s. cerevisiae) | WDR30 | ATG16A | autophagy related 16-like 1 | WD repeat domain 30 | FLJ22677 | FLJ10828 | FLJ10035 | APG16L beta | ATG16L	MGI:1924290:Atg16l1
HGNC:215	HGNC:215	ADAM8	ADAM metallopeptidase domain 8	Homo sapiens	101	ENSG00000151651	Q14C66 | P78325 | H0YKZ1 | H0YMT6	N.A.	cell surface antigen MS2 | CD156a | CD156 | human leukocyte differentiation antigen | ADAM 8 | MGC134985 | disintegrin and metalloproteinase domain-containing protein 8 | MS2 | a disintegrin and metalloproteinase domain 8	MGI:107825:Adam8
HGNC:2150	HGNC:2150	CNGA3	cyclic nucleotide gated channel subunit alpha 3	Homo sapiens	1261	ENSG00000144191	Q16281 | L8E7M2 | A0A097I4X7	N.A.	cone photoreceptor cGMP-gated channel subunit alpha | cyclic nucleotide-gated cation channel alpha-3 | CNG channel alpha-3 | cone photoreceptor cGMP-gated channel alpha subunit | CCNC1 | CCNCalpha | CNCG3 | CCNCa | ACHM2 | cyclic nucleotide gated channel alpha 3 | CNG-3 | cyclic nucleotide-gated channel alpha-3 | CNG3	MGI:1341818:Cnga3
HGNC:21504	HGNC:21504	PRY2	PTPN13 like Y-linked 2	Homo sapiens	442862	ENSG00000169807	O14603 | A0A384MTZ8	N.A.	PTPN13-like, Y-linked, centromeric | PTPN13LY | PRYP3 | testis-specific PTP-BL-related Y protein | PRY | PTPN13LY2 | PTPN13-like, Y-linked 2 | PRYP4 | testis-specific PTP-BL-related protein on Y | PTPN13-like protein, Y-linked	N.A.
HGNC:2151	HGNC:2151	CNGB1	cyclic nucleotide gated channel subunit beta 1	Homo sapiens	1258	ENSG00000070729	H3BQC3 | H3BQW3 | A0A2R8Y6Y0 | Q14028	PTHR45638	CNCG2 | cyclic nucleotide-gated cation channel beta-1 | RCNC2 | cyclic nucleotide-gated channel beta-1 | RCNCb | cyclic nucleotide-gated cation channel 4 | RCNCbeta | RP45 | glutamic-acid-rich protein | CNG channel beta-1 | CNG4 | glutamic acid-rich protein | cyclic nucleotide-gated cation channel gamma | CNCG4 | GARP | CNG-4 | CNGB1B | GAR1 | cyclic nucleotide gated channel (photoreceptor), cGMP gated 3 (gamma)-like | cyclic nucleotide-gated cation channel modulatory subunit | GARP2 | cyclic nucleotide gated channel beta 1 | CNCG3L	MGI:2664102:Cngb1
HGNC:21517	HGNC:21517	DUS4L	dihydrouridine synthase 4 like	Homo sapiens	11062	ENSG00000284103	A0A024R6Z3 | O95620 | A4D0R5 | F2Z2E4 | F8WFE3 | F8WEL2	N.A.	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like | MGC133233 | tRNA-dihydrouridine synthase 4-like | DUS4 | 2310069P03Rik | dihydrouridine synthase 4-like | protein similar to E.coli yhdg and R. capsulatus nifR3 | PP35	MGI:1919166:Dus4l
HGNC:2152	HGNC:2152	CNGA4	cyclic nucleotide gated channel subunit alpha 4	Homo sapiens	1262	ENSG00000132259	Q8IV77 | B4DYQ8	N.A.	OCNC2 | cyclic nucleotide gated channel beta 2 | CNG5 | OCNCb | CNG-4 | MGC126168 | CNG channel alpha-4 | CNCA2 | cyclic nucleotide gated channel alpha 4 | OCNCBETA | cyclic nucleotide-gated channel alpha-4 | cyclic nucleotide-gated cation channel alpha-4 | MGC126169 | CNG4 | CNGB2	MGI:2664099:Cnga4
HGNC:21524	HGNC:21524	DHRS7	dehydrogenase/reductase 7	Homo sapiens	51635	ENSG00000100612	Q9Y394 | G3V5J0 | H0YJE4 | H0YJR8 | H0YJ66	N.A.	dehydrogenase/reductase SDR family member 7 | 2310016E22Rik | dehydrogenase/reductase (SDR family) member 7 | retinal short-chain dehydrogenase/reductase 4 | retSDR4 | CGI-86 | SDR34C1 | short chain dehydrogenase/reductase family 34C, member 1 | short chain dehydrogenase/reductase family 34C member 1 | retDSR4	MGI:1913625:Dhrs7
HGNC:21526	HGNC:21526	GNPDA2	glucosamine-6-phosphate deaminase 2	Homo sapiens	132789	ENSG00000163281	Q8TDQ7 | A0A024R9X5 | V9GYW0 | V9GYK3	PTHR11280	putative glucosamine-6-phosphate isomerase | GNPDA 2 | GNP2 | glcN6P deaminase 2 | SB52 | 4921523I18Rik | glucosamine-6-phosphate isomerase SB52 | glucosamine-6-phosphate isomerase 2	MGI:1915230:Gnpda2
HGNC:21528	HGNC:21528	DIABLO	diablo IAP-binding mitochondrial protein	Homo sapiens	56616	ENSG00000184047	A0A024RBT2 | K7X1S0 | Q502X2 | Q9NR28 | A0A0S2Z5P6 | A0A0S2Z5U7 | A0A2U3TZH2 | A0A2R8Y5H2 | H7BZK7 | F5GYH3 | F5GXT8 | F5GX50 | H7BZQ7	PTHR32247	direct IAP-binding protein with low pI | FLJ10537 | diablo homolog, mitochondrial | DFNA64 | SMAC | 0610041G12Rik | SMAC3 | mitochondrial Smac protein | second mitochondria-derived activator of caspase | diablo, mitochondrial | FLJ25049 | DIABLO-S	MGI:1913843:Diablo
HGNC:21529	HGNC:21529	TM9SF3	transmembrane 9 superfamily member 3	Homo sapiens	56889	ENSG00000077147	Q9HD45 | A0A024QYS2 | Q5TB53 | L8EB11 | Q8WUB5	PTHR10766	endomembrane protein emp70 precursor isolog | SMBP | RP11-34E5.1 | EP70-P-iso | SM-11044-binding protein | dinucleotide oxidase disulfide thiol exchanger 3 superfamily member 3 | SM-11044 binding protein	MGI:1914262:Tm9sf3
HGNC:2153	HGNC:2153	CNGB3	cyclic nucleotide gated channel subunit beta 3	Homo sapiens	54714	ENSG00000170289	Q0QD47 | B9EK43 | A0A1Y0AYH9 | A0A1Y0AYH4 | A0A5J6DSN8 | Q9NQW8 | H0YAZ4	PTHR45638	cyclic nucleotide-gated cation channel modulatory subunit | CNG channel beta-3 | achromatopsia (rod monochromacy) 1 | RMCH | ACHM3 | cyclic nucleotide-gated cation channel beta-3 | cone photoreceptor cGMP-gated cation channel beta-subunit | cyclic nucleotide gated channel beta 3 | cyclic nucleotide-gated channel beta-3 | ACHM1 | RMCH1	MGI:1353562:Cngb3
HGNC:21531	HGNC:21531	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	Homo sapiens	117248	ENSG00000131386	Q8N3T1 | C9JGI4 | Q4G146 | B3KT16 | A0A3B3IRY6 | A0A090N7Y5 | H7BZD6 | Q68VI9	N.A.	protein-UDP acetylgalactosaminyltransferase-like protein 2 | polypeptide N-acetylgalactosaminyltransferase 13 | GALNTL2 | pp-GalNAc-T15 | GALNT13 | polypeptide N-acetylgalactosaminyltransferase-like protein 2 | galNAc-T-like protein 2 | polypeptide GalNAc transferase 15 | UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2 | UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15 | UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 | pp-GaNTase-like protein 2 | UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2 | polypeptide GalNAc transferase-like protein 2 | UDP-GalNAc transferase T15 | GALNACT15 | pregnancy-induced hypertension syndrome-related protein 5 | PIH5 | GALNT7 | DKFZp686H1113	MGI:1926004:Galnt15
HGNC:21532	HGNC:21532	SNX19	sorting nexin 19	Homo sapiens	399979	ENSG00000120451	B7ZAU9 | E9PJV7 | E7ERC7 | E9PLV3 | Q92543	PTHR22775	CHET8 | DKFZp667I205 | sorting nexin-19 | KIAA0254	MGI:1921581:Snx19
HGNC:21533	HGNC:21533	SNX24	sorting nexin 24	Homo sapiens	28966	ENSG00000064652	Q9Y343 | H0Y8V0 | H0YA25 | A8MXB7	N.A.	sorting nexing 24 | SBBI31 | sorting nexin-24 | PRO1284	MGI:1916476:Snx24
HGNC:21535	HGNC:21535	GTPBP4	GTP binding protein 4	Homo sapiens	23560	ENSG00000107937	Q8N4P8 | Q9BZE4 | D2CFK9 | Q5T3R7	PTHR45759	G protein-binding protein CRFG | NOG1 | FLJ10686 | nucleolar GTP-binding protein 1 | NGB | GTP-binding protein NGB | FLJ39774 | FLJ10690 | CRFG | chronic renal failure gene protein	MGI:1916487:Gtpbp4
HGNC:21536	HGNC:21536	DRGX	dorsal root ganglia homeobox	Homo sapiens	644168	ENSG00000165606	A6NNA5	N.A.	dorsal root ganglia homeobox protein | paired-related homeobox protein-like 1 | paired related homeobox-like 1 | PRRXL1 | DRG11 | paired-like homeodomain trancription factor DRG11	MGI:2148204:Prrxl1
HGNC:21537	HGNC:21537	SYCP2L	synaptonemal complex protein 2 like	Homo sapiens	221711	ENSG00000153157	H7C4Q1 | Q5T4T6 | B4DFB8 | K7N7B3	PTHR15607	C6orf177 | synaptonemal complex protein 2-like | chromosome 6 open reading frame 177 | 145 kDa nucleolar protein homolog | hsNO145 | SCP-2-like | dJ62D2.1 | NO145	MGI:2685114:Sycp2l
HGNC:21538	HGNC:21538	RPL15P3	ribosomal protein L15 pseudogene 3	Homo sapiens	653232	ENSG00000212802	N.A.	N.A.	bA511S14.1 | RPL15_3_658	N.A.
HGNC:21539	HGNC:21539	RBM24	RNA binding motif protein 24	Homo sapiens	221662	ENSG00000112183	H0YA61 | B7Z6B4 | B7Z6B7 | A8KAI7 | Q9BX46 | H0Y8S7	N.A.	RNPC6 | RNA-binding motif protein 24 | FLJ26355 | dJ259A10.1 | FLJ37697 | FLJ30829 | RNA-binding region (RNP1, RRM) containing 6 | RNA-binding protein 24 | RNA-binding region-containing protein 6	MGI:3610364:Rbm24
HGNC:2154	HGNC:2154	PLK3	polo like kinase 3	Homo sapiens	1263	ENSG00000173846	Q9H4B4	PTHR24345	cytokine-inducible serine/threonine-protein kinase | polo-like kinase 3 | serine/threonine-protein kinase PLK3 | CNK | PLK-3 | FNK | PRK | cytokine-inducible kinase | proliferation-related kinase | FGF-inducible kinase	MGI:109604:Plk3
HGNC:21540	HGNC:21540	ATP5MFP2	ATP synthase membrane subunit f pseudogene 2	Homo sapiens	387107	N.A.	N.A.	N.A.	ATP5J2P2 | bA249L21.4 | ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2 pseudogene 2	N.A.
HGNC:21549	HGNC:21549	FAM162B	family with sequence similarity 162 member B	Homo sapiens	221303	ENSG00000183807	Q5T6X4	PTHR13674	hypothetical protein LOC221303 | C6orf189 | family with sequence similarity 162, member B | bA86F4.2	MGI:1924546:Fam162b
HGNC:2155	HGNC:2155	CNN1	calponin 1	Homo sapiens	1264	ENSG00000130176	K7ENC5 | K7ERK4 | K7ERM8 | Q53FP8 | B7Z7E1 | P51911 | V9HWA5 | K7EQ72 | K7ER02 | K7ESJ2	N.A.	calponin-1 | calponins, basic | SMCC | Sm-Calp | basic calponin | calponin H1, smooth muscle | epididymis secretory protein Li 14 | HEL-S-14 | calponin 1, basic, smooth muscle	MGI:104979:Cnn1
HGNC:21553	HGNC:21553	LIN28B-AS1	LIN28B antisense RNA 1	Homo sapiens	100113403	ENSG00000203809	N.A.	N.A.	LINC00577 | dJ439I14.1 | C6orf220 | RP3-439I14.1 | chromosome 6 open reading frame 220	N.A.
HGNC:21555	HGNC:21555	EYS	eyes shut homolog	Homo sapiens	346007	ENSG00000188107	H0Y3Q4 | Q5T1H1 | F1T0H9 | F1T0I0 | L8E9T9 | F8WDD3 | F1T0H8	N.A.	C6orf180 | chromosome 6 open reading frame 179 | protein eyes shut homolog | EGF-like protein 10 | chromosome 6 open reading frame 178 | dJ22I17.2 | C6orf179 | dJ303F19.1 | epidermal growth factor-like protein 10 | notch-like | RP25 | spacemaker | EGF-like-domain, multiple 10 | retinitis pigmentosa 25 (autosomal recessive) | SPAM | EGF-like-domain, multiple 11 | dJ1018A4.2 | bA166P24.2 | C6orf178 | EGFL10 | bA307F22.3 | protein spacemaker homolog | epidermal growth factor-like protein 11 | bA74E24.1 | chromosome 6 open reading frame 180 | EGF-like protein 11 | eyes shut homolog (Drosophila) | EGFL11 | KIAA0663	N.A.
HGNC:21556	HGNC:21556	NT5DC1	5'-nucleotidase domain containing 1	Homo sapiens	221294	ENSG00000178425	H0YDA5 | Q5QPD0 | Q5TFE4 | Q9H2R1	PTHR12103	NT5C2L1 | 5'-nucleotidase, cytosolic II-like 1 protein | LP2642 | MGC24302 | MGC131837 | C6orf200 | 5'-nucleotidase domain-containing protein 1	MGI:2442446:Nt5dc1
HGNC:21557	HGNC:21557	PPIL6	peptidylprolyl isomerase like 6	Homo sapiens	285755	ENSG00000185250	Q8TAE1 | Q8IXY8 | H0Y7C3 | B4DEK6 | H0YC62 | H0YAQ8	N.A.	dJ919F19.1 | probable inactive peptidyl-prolyl cis-trans isomerase-like 6 | rotamase PPIL6 | peptidyl-prolyl cis-trans isomerase-like 6 | MGC27056 | MGC27054 | cyclophilin-like protein PPIL6 | radial spoke 12 homolog | peptidyl-prolyl cis-trans isomerase-like variant a | peptidylprolyl isomerase (cyclophilin)-like 6 | bA425D10.6 | PPIase | problable inactive peptidyl-prolyl cis-trans isomerase-like 6 | MGC41939 | RSPH12	MGI:1920325:Ppil6
HGNC:21558	HGNC:21558	RSPH4A	radial spoke head component 4A	Homo sapiens	345895	ENSG00000111834	B3KTA9 | Q5TD94	PTHR13159	radial spokehead-like 3 | radial spoke head-like protein 3 | radial spoke head 4 homolog A | CILD11 | FLJ37974 | RSHL3 | dJ412I7.1 | radial spoke head protein 4 homolog A | MGC126303 | RSPH6B | radial spoke head 4 homolog A (Chlamydomonas)	MGI:3027894:Rsph4a
HGNC:21559	HGNC:21559	TSPYL4	TSPY like 4	Homo sapiens	23270	ENSG00000187189	L0R5G4 | Q9UJ04	PTHR11875	dJ486I3.2 | TSPY-like 4 | TSPY-like protein 4 | testis-specific Y-encoded-like protein 4 | KIAA0721	MGI:106393:Tspyl4
HGNC:2156	HGNC:2156	CNN2	calponin 2	Homo sapiens	1265	ENSG00000064666	B4DDF4 | B4DUT8 | Q99439 | A0A087WV51 | A0A087X1X5 | A0A087X271 | B2RWM5 | Q6FHC3 | Q6FHE4 | H3BQH0 | H3BVI6 | K7ES69 | U3KPS3	PTHR18959	calponin H2, smooth muscle | calponin-2 | neutral calponin	MGI:105093:Cnn2
HGNC:21560	HGNC:21560	LINC00222	long intergenic non-protein coding RNA 222	Homo sapiens	387111	ENSG00000203801	N.A.	N.A.	dJ354J5.2 | C6orf181 | NCRNA00222 | RP3-354J5.2	N.A.
HGNC:21561	HGNC:21561	CEP57L1	centrosomal protein 57 like 1	Homo sapiens	285753	ENSG00000183137	E5RI49 | E5RK85 | E5RGP2 | E5RIK8 | E5RH23 | E5RIV2 | E5RHF8 | Q5T6A0 | E5RJG4 | E5RJH1 | H0YB52 | G3V140 | Q8IYX8 | E5RFY4 | E5RG82 | E5RJP9 | E5RG21 | Q6P2R3 | E5RGU5	N.A.	centrosomal protein 57kDa-like 1 | MGC21731 | cep57R | cep57-related protein | centrosomal protein of 57 kDa-related protein | centrosomal protein CEP57L1 | centrosomal protein 57kDa-like protein 1 | bA487F23.2 | C6orf182 | MGC70837	MGI:1915511:Cep57l1
